trialname,simulation_number,max_simulation_time,outcome,endpoint_x,endpoint_y,bounces,simulation_time
contain_sc1_var_l1_complex_l1,1,60,REDGOAL,305.33939443675547,143.2937533963082,12,15.450000000000085
contain_sc1_var_l1_complex_l1,2,60,REDGOAL,353.7759968849349,144.7593582036082,31,36.00000000000009
contain_sc1_var_l1_complex_l1,3,60,REDGOAL,326.62479965501984,146.81392105625665,2,3.4499999999999957
contain_sc1_var_l1_complex_l1,4,60,REDGOAL,243.79463641923851,142.4037764385979,22,32.800000000000274
contain_sc1_var_l1_complex_l1,5,60,REDGOAL,298.78969662632716,145.10859059267952,14,15.650000000000087
contain_sc1_var_l1_complex_l1,6,60,REDGOAL,356.54646778665096,148.32617273939582,3,5.4999999999999885
contain_sc1_var_l1_complex_l1,7,60,REDGOAL,327.8706486608299,139.92713182858532,7,10.000000000000007
contain_sc1_var_l1_complex_l1,8,60,REDGOAL,286.17148454515984,144.45886480128075,5,6.8999999999999835
contain_sc1_var_l1_complex_l1,9,60,REDGOAL,241.76165198588,140.8903713719773,10,13.400000000000055
contain_sc1_var_l1_complex_l1,10,60,REDGOAL,328.68891061604563,148.15967015439378,9,12.35000000000004
contain_sc1_var_l1_complex_l1,11,60,REDGOAL,317.825902153922,144.48345895473454,17,22.400000000000183
contain_sc1_var_l1_complex_l1,12,60,REDGOAL,272.9318039824961,148.35350126613142,11,14.150000000000066
contain_sc1_var_l1_complex_l1,13,60,REDGOAL,302.4712163144587,144.18431408508795,4,5.949999999999987
contain_sc1_var_l1_complex_l1,14,60,REDGOAL,322.2873452396702,141.76882801282463,35,48.799999999999365
contain_sc1_var_l1_complex_l1,15,60,REDGOAL,246.3328630660632,148.69402980273597,12,15.550000000000086
contain_sc1_var_l1_complex_l1,16,60,REDGOAL,280.02822885909114,139.4613713767288,23,30.750000000000302
contain_sc1_var_l1_complex_l1,17,60,REDGOAL,243.0481815664153,145.8277192554507,3,4.899999999999991
