game_id,round_index,player1_id,player2_id,round_begin_ts,player1_move,player2_move,player1_rt,player2_rt,player1_outcome,player2_outcome,player1_outcome_viewtime,player2_outcome_viewtime,player1_points,player2_points,player1_total,player2_total
d4db449d-9c00-465f-aea4-f4393b042f5e,1,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115231002,scissors,paper,3862,2662,win,loss,3109,6681,3,-1,0,0
d4db449d-9c00-465f-aea4-f4393b042f5e,2,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115241569,rock,rock,715,2383,tie,tie,2109,2646,0,0,3,-1
d4db449d-9c00-465f-aea4-f4393b042f5e,3,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115246616,paper,scissors,2820,2895,loss,win,2920,2875,-1,3,3,-1
d4db449d-9c00-465f-aea4-f4393b042f5e,4,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115252444,scissors,rock,3592,2260,loss,win,2153,1684,-1,3,2,2
d4db449d-9c00-465f-aea4-f4393b042f5e,5,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115258204,rock,rock,2209,3140,tie,tie,2401,1546,0,0,1,5
d4db449d-9c00-465f-aea4-f4393b042f5e,6,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115263757,paper,scissors,3201,1900,loss,win,1656,1844,-1,3,1,5
d4db449d-9c00-465f-aea4-f4393b042f5e,7,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115268814,paper,paper,3167,2305,tie,tie,2082,1637,0,0,0,8
d4db449d-9c00-465f-aea4-f4393b042f5e,8,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115274077,paper,paper,3072,2396,tie,tie,1553,1613,0,0,0,8
d4db449d-9c00-465f-aea4-f4393b042f5e,9,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115278774,scissors,rock,3376,2107,loss,win,1859,2836,-1,3,0,8
d4db449d-9c00-465f-aea4-f4393b042f5e,10,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115284998,rock,paper,2368,2706,loss,win,1625,1779,-1,3,-1,11
d4db449d-9c00-465f-aea4-f4393b042f5e,11,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115289494,paper,scissors,3759,2298,loss,win,1355,1789,-1,3,-2,14
d4db449d-9c00-465f-aea4-f4393b042f5e,12,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115295053,scissors,rock,7847,2275,loss,win,2203,2154,-1,3,-3,17
d4db449d-9c00-465f-aea4-f4393b042f5e,13,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115305116,rock,paper,5575,1410,loss,win,1516,2812,-1,3,-4,20
d4db449d-9c00-465f-aea4-f4393b042f5e,14,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115313521,rock,scissors,5918,1191,win,loss,11853,1990,3,-1,-5,23
d4db449d-9c00-465f-aea4-f4393b042f5e,15,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115331302,paper,scissors,896,1347,loss,win,1498,1500,-1,3,-2,22
d4db449d-9c00-465f-aea4-f4393b042f5e,16,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115334157,scissors,scissors,1243,3083,tie,tie,7691,1908,0,0,-3,25
d4db449d-9c00-465f-aea4-f4393b042f5e,17,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115344943,rock,scissors,985,2682,win,loss,2436,2061,3,-1,-3,25
d4db449d-9c00-465f-aea4-f4393b042f5e,18,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115350070,rock,rock,5058,3562,tie,tie,2475,1172,0,0,0,24
d4db449d-9c00-465f-aea4-f4393b042f5e,19,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115357614,rock,paper,2722,1684,loss,win,1533,2724,-1,3,0,24
d4db449d-9c00-465f-aea4-f4393b042f5e,20,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115363070,paper,rock,5218,3610,win,loss,2964,3196,3,-1,-1,27
d4db449d-9c00-465f-aea4-f4393b042f5e,21,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115371494,rock,paper,1235,1427,loss,win,1755,1410,-1,3,2,26
d4db449d-9c00-465f-aea4-f4393b042f5e,22,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115374686,rock,paper,2554,747,loss,win,1021,1365,-1,3,1,29
d4db449d-9c00-465f-aea4-f4393b042f5e,23,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115378613,paper,scissors,467,1963,loss,win,3612,1844,-1,3,0,32
d4db449d-9c00-465f-aea4-f4393b042f5e,24,b5c00ab2-07fa-4a11-bbba-29f73c377b11,f72d1922-d529-4ed5-b83c-b7cc7c78862d,1579115384198,scissors,scissors,7587,820,tie,tie,3011,1411,0,0,-1,35
