game_id,round_index,player1_id,player2_id,round_begin_ts,player1_move,player2_move,player1_rt,player2_rt,player1_outcome,player2_outcome,player1_outcome_viewtime,player2_outcome_viewtime,player1_points,player2_points,player1_total,player2_total
4484e9a0-fd9b-487c-ae9f-c82536809000,1,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607614122,paper,paper,4303,2331,tie,tie,2055,2866,0,0,0,0
4484e9a0-fd9b-487c-ae9f-c82536809000,2,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607621311,rock,paper,4612,1406,loss,win,3442,5318,-1,3,0,0
4484e9a0-fd9b-487c-ae9f-c82536809000,3,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607631254,paper,paper,3207,2890,tie,tie,4241,3925,0,0,-1,3
4484e9a0-fd9b-487c-ae9f-c82536809000,4,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607638714,rock,paper,1136,923,loss,win,3715,5389,-1,3,-1,3
4484e9a0-fd9b-487c-ae9f-c82536809000,5,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607645254,scissors,paper,2605,2264,win,loss,3122,8254,3,-1,-2,6
4484e9a0-fd9b-487c-ae9f-c82536809000,6,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607656126,paper,paper,2535,1401,tie,tie,3171,4445,0,0,1,5
4484e9a0-fd9b-487c-ae9f-c82536809000,7,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607663118,scissors,paper,1014,1929,win,loss,1641,11764,3,-1,1,5
4484e9a0-fd9b-487c-ae9f-c82536809000,8,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607676822,scissors,paper,1983,3506,win,loss,1784,3530,3,-1,4,4
4484e9a0-fd9b-487c-ae9f-c82536809000,9,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607683870,scissors,paper,1862,1273,win,loss,1860,2461,3,-1,7,3
4484e9a0-fd9b-487c-ae9f-c82536809000,10,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607688206,scissors,rock,712,2617,loss,win,3536,3155,-1,3,10,2
4484e9a0-fd9b-487c-ae9f-c82536809000,11,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607694372,paper,rock,1649,1169,win,loss,3458,8157,3,-1,9,5
4484e9a0-fd9b-487c-ae9f-c82536809000,12,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607704191,paper,none,1854,10000,win,loss,2134,4533,3,-1,12,4
4484e9a0-fd9b-487c-ae9f-c82536809000,13,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607718743,rock,scissors,5021,2193,win,loss,2185,6412,3,-1,15,3
4484e9a0-fd9b-487c-ae9f-c82536809000,14,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607730207,scissors,paper,3328,4118,win,loss,2090,7977,3,-1,18,2
4484e9a0-fd9b-487c-ae9f-c82536809000,15,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607742320,scissors,scissors,2774,3402,tie,tie,1912,6066,0,0,21,1
4484e9a0-fd9b-487c-ae9f-c82536809000,16,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607751799,paper,paper,4594,2218,tie,tie,2108,2406,0,0,21,1
4484e9a0-fd9b-487c-ae9f-c82536809000,17,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607758808,scissors,scissors,6591,2449,tie,tie,1274,4621,0,0,21,1
4484e9a0-fd9b-487c-ae9f-c82536809000,18,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607770031,paper,paper,1545,898,tie,tie,1620,3054,0,0,21,1
4484e9a0-fd9b-487c-ae9f-c82536809000,19,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607774640,rock,scissors,1560,1481,win,loss,6276,5237,3,-1,21,1
4484e9a0-fd9b-487c-ae9f-c82536809000,20,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607782486,scissors,rock,4019,1747,loss,win,1706,5285,-1,3,24,0
4484e9a0-fd9b-487c-ae9f-c82536809000,21,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607791800,rock,rock,4256,2572,tie,tie,2483,6507,0,0,23,3
4484e9a0-fd9b-487c-ae9f-c82536809000,22,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607802576,paper,scissors,2753,2658,loss,win,2787,6478,-1,3,23,3
4484e9a0-fd9b-487c-ae9f-c82536809000,23,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607811816,scissors,rock,6889,1762,loss,win,4106,4916,-1,3,22,6
4484e9a0-fd9b-487c-ae9f-c82536809000,24,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607823634,rock,scissors,5860,2873,win,loss,3380,6637,3,-1,21,9
4484e9a0-fd9b-487c-ae9f-c82536809000,25,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607836145,paper,paper,3729,3131,tie,tie,2580,3969,0,0,24,8
4484e9a0-fd9b-487c-ae9f-c82536809000,26,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607843857,paper,rock,2386,1775,win,loss,3903,4164,3,-1,24,8
4484e9a0-fd9b-487c-ae9f-c82536809000,27,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607850424,rock,paper,5114,3323,loss,win,2384,3721,-1,3,27,7
4484e9a0-fd9b-487c-ae9f-c82536809000,28,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607859274,paper,paper,3786,3546,tie,tie,1943,2870,0,0,26,10
4484e9a0-fd9b-487c-ae9f-c82536809000,29,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607865945,scissors,rock,2793,2738,loss,win,1844,2891,-1,3,26,10
4484e9a0-fd9b-487c-ae9f-c82536809000,30,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607871641,paper,paper,5608,3439,tie,tie,2116,3164,0,0,25,13
4484e9a0-fd9b-487c-ae9f-c82536809000,31,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607880425,paper,rock,2065,1467,win,loss,3251,4683,3,-1,25,13
4484e9a0-fd9b-487c-ae9f-c82536809000,32,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607887186,scissors,scissors,2681,2906,tie,tie,2083,4188,0,0,28,12
4484e9a0-fd9b-487c-ae9f-c82536809000,33,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607894290,paper,paper,5723,3874,tie,tie,1755,2123,0,0,28,12
4484e9a0-fd9b-487c-ae9f-c82536809000,34,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607902146,rock,rock,3905,2707,tie,tie,3020,2764,0,0,28,12
4484e9a0-fd9b-487c-ae9f-c82536809000,35,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607909081,paper,scissors,5660,2803,loss,win,2036,3572,-1,3,28,12
4484e9a0-fd9b-487c-ae9f-c82536809000,36,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607918322,scissors,paper,6435,1970,win,loss,2018,4996,3,-1,27,15
4484e9a0-fd9b-487c-ae9f-c82536809000,37,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607929762,rock,paper,2258,2675,loss,win,2763,3101,-1,3,30,14
4484e9a0-fd9b-487c-ae9f-c82536809000,38,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607935555,paper,scissors,1937,1752,loss,win,2291,3276,-1,3,29,17
4484e9a0-fd9b-487c-ae9f-c82536809000,39,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607940779,rock,rock,3175,1826,tie,tie,2444,2989,0,0,28,20
4484e9a0-fd9b-487c-ae9f-c82536809000,40,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607946955,paper,scissors,3762,2149,loss,win,2396,3316,-1,3,28,20
4484e9a0-fd9b-487c-ae9f-c82536809000,41,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607954043,rock,scissors,1859,2206,win,loss,3863,4904,3,-1,27,23
4484e9a0-fd9b-487c-ae9f-c82536809000,42,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607961163,scissors,scissors,3443,3690,tie,tie,1674,2752,0,0,30,22
4484e9a0-fd9b-487c-ae9f-c82536809000,43,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607967619,rock,rock,3186,2922,tie,tie,1628,2405,0,0,30,22
4484e9a0-fd9b-487c-ae9f-c82536809000,44,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607973219,rock,scissors,7338,1730,win,loss,2900,4195,3,-1,30,22
4484e9a0-fd9b-487c-ae9f-c82536809000,45,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607984763,rock,scissors,3595,3371,win,loss,3395,2492,3,-1,33,21
4484e9a0-fd9b-487c-ae9f-c82536809000,46,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578607991763,scissors,paper,3698,4067,win,loss,1768,10544,3,-1,36,20
4484e9a0-fd9b-487c-ae9f-c82536809000,47,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608006387,paper,rock,611,963,win,loss,1443,4315,3,-1,39,19
4484e9a0-fd9b-487c-ae9f-c82536809000,48,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608011676,rock,scissors,4228,1731,win,loss,1508,2876,3,-1,42,18
4484e9a0-fd9b-487c-ae9f-c82536809000,49,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608018788,scissors,scissors,4090,3179,tie,tie,1513,1794,0,0,45,17
4484e9a0-fd9b-487c-ae9f-c82536809000,50,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608024684,rock,rock,2994,2076,tie,tie,1149,2181,0,0,45,17
4484e9a0-fd9b-487c-ae9f-c82536809000,51,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608029868,scissors,scissors,3803,2003,tie,tie,1333,4348,0,0,45,17
4484e9a0-fd9b-487c-ae9f-c82536809000,52,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608038029,rock,paper,4410,1729,loss,win,2332,3228,-1,3,45,17
4484e9a0-fd9b-487c-ae9f-c82536809000,53,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608045676,rock,scissors,6027,3347,win,loss,1601,1977,3,-1,44,20
4484e9a0-fd9b-487c-ae9f-c82536809000,54,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608053693,scissors,paper,7050,4098,win,loss,1700,2267,3,-1,47,19
4484e9a0-fd9b-487c-ae9f-c82536809000,55,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608063021,rock,paper,4515,3787,loss,win,2101,1547,-1,3,50,18
4484e9a0-fd9b-487c-ae9f-c82536809000,56,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608069645,paper,rock,2828,2754,win,loss,2419,2107,3,-1,49,21
4484e9a0-fd9b-487c-ae9f-c82536809000,57,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608074901,scissors,paper,5587,3403,win,loss,1941,3292,3,-1,52,20
4484e9a0-fd9b-487c-ae9f-c82536809000,58,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608083789,rock,scissors,5179,788,win,loss,5548,5932,3,-1,55,19
4484e9a0-fd9b-487c-ae9f-c82536809000,59,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608094910,paper,paper,6211,874,tie,tie,2884,1755,0,0,58,18
4484e9a0-fd9b-487c-ae9f-c82536809000,60,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608104014,rock,paper,4451,107,loss,win,1525,1517,-1,3,58,18
4484e9a0-fd9b-487c-ae9f-c82536809000,61,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608109998,paper,rock,3073,3106,win,loss,6491,2257,3,-1,57,21
4484e9a0-fd9b-487c-ae9f-c82536809000,62,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608119606,scissors,paper,2555,752,win,loss,6853,1828,3,-1,60,20
4484e9a0-fd9b-487c-ae9f-c82536809000,63,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608129022,paper,paper,2970,546,tie,tie,1476,3316,0,0,63,19
4484e9a0-fd9b-487c-ae9f-c82536809000,64,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608135318,scissors,paper,4099,1435,win,loss,1842,2330,3,-1,63,19
4484e9a0-fd9b-487c-ae9f-c82536809000,65,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608141758,scissors,paper,4980,1562,win,loss,1541,2532,3,-1,66,18
4484e9a0-fd9b-487c-ae9f-c82536809000,66,72a32763-50f0-4183-9be4-ba4aa1c39c3b,5eef4826-89c0-4fad-b28f-9d2f02e23225,1578608149279,rock,paper,786,4411,loss,win,1660,2827,-1,3,69,17
