game_id,round_index,player1_id,player2_id,round_begin_ts,player1_move,player2_move,player1_rt,player2_rt,player1_outcome,player2_outcome,player1_outcome_viewtime,player2_outcome_viewtime,player1_points,player2_points,player1_total,player2_total
8c59973c-5847-470a-bee0-7c1bd99ebd11,1,8486fa55-d00e-43bb-913d-52df56f3e7b6,95b8d465-a26b-4f3d-90e6-c36aedafde1b,1578942135913,paper,paper,2576,1048,tie,tie,5766,3373,0,0,0,0
8c59973c-5847-470a-bee0-7c1bd99ebd11,2,8486fa55-d00e-43bb-913d-52df56f3e7b6,95b8d465-a26b-4f3d-90e6-c36aedafde1b,1578942144279,scissors,rock,1064,337,loss,win,1899,2392,-1,3,0,0
8c59973c-5847-470a-bee0-7c1bd99ebd11,3,8486fa55-d00e-43bb-913d-52df56f3e7b6,95b8d465-a26b-4f3d-90e6-c36aedafde1b,1578942147750,rock,paper,498,1954,loss,win,1897,3200,-1,3,-1,3
8c59973c-5847-470a-bee0-7c1bd99ebd11,4,8486fa55-d00e-43bb-913d-52df56f3e7b6,95b8d465-a26b-4f3d-90e6-c36aedafde1b,1578942152917,rock,paper,875,1755,loss,win,1700,3915,-1,3,-2,6
8c59973c-5847-470a-bee0-7c1bd99ebd11,5,8486fa55-d00e-43bb-913d-52df56f3e7b6,95b8d465-a26b-4f3d-90e6-c36aedafde1b,1578942158597,paper,scissors,547,1075,loss,win,1788,2908,-1,3,-3,9
8c59973c-5847-470a-bee0-7c1bd99ebd11,6,8486fa55-d00e-43bb-913d-52df56f3e7b6,95b8d465-a26b-4f3d-90e6-c36aedafde1b,1578942162590,paper,rock,731,1107,win,loss,2259,1867,3,-1,-4,12
8c59973c-5847-470a-bee0-7c1bd99ebd11,7,8486fa55-d00e-43bb-913d-52df56f3e7b6,95b8d465-a26b-4f3d-90e6-c36aedafde1b,1578942165966,scissors,rock,1452,1370,loss,win,2235,2027,-1,3,-1,11
8c59973c-5847-470a-bee0-7c1bd99ebd11,8,8486fa55-d00e-43bb-913d-52df56f3e7b6,95b8d465-a26b-4f3d-90e6-c36aedafde1b,1578942169663,rock,scissors,1153,1360,win,loss,1885,1859,3,-1,-2,14
8c59973c-5847-470a-bee0-7c1bd99ebd11,9,8486fa55-d00e-43bb-913d-52df56f3e7b6,95b8d465-a26b-4f3d-90e6-c36aedafde1b,1578942172918,rock,scissors,1188,841,win,loss,1732,1156,3,-1,1,13
8c59973c-5847-470a-bee0-7c1bd99ebd11,10,8486fa55-d00e-43bb-913d-52df56f3e7b6,95b8d465-a26b-4f3d-90e6-c36aedafde1b,1578942175863,rock,scissors,945,744,win,loss,1811,1123,3,-1,4,12
