game_id,round_index,player1_id,player2_id,round_begin_ts,player1_move,player2_move,player1_rt,player2_rt,player1_outcome,player2_outcome,player1_outcome_viewtime,player2_outcome_viewtime,player1_points,player2_points,player1_total,player2_total
93eac3ef-16eb-40aa-88c4-7ede3a75037e,1,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036155145,rock,scissors,6943,5800,win,loss,7719,3332,3,-1,0,0
93eac3ef-16eb-40aa-88c4-7ede3a75037e,2,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036169829,paper,paper,3503,3821,tie,tie,4237,1762,0,0,3,-1
93eac3ef-16eb-40aa-88c4-7ede3a75037e,3,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036177899,rock,scissors,1394,1960,win,loss,2365,1939,3,-1,3,-1
93eac3ef-16eb-40aa-88c4-7ede3a75037e,4,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036182235,scissors,scissors,2913,2384,tie,tie,2906,1408,0,0,6,-2
93eac3ef-16eb-40aa-88c4-7ede3a75037e,5,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036188068,paper,paper,2239,3270,tie,tie,2174,1436,0,0,6,-2
93eac3ef-16eb-40aa-88c4-7ede3a75037e,6,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036193523,scissors,rock,1658,1206,loss,win,2611,2240,-1,3,6,-2
93eac3ef-16eb-40aa-88c4-7ede3a75037e,7,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036197803,rock,scissors,3786,1615,win,loss,1315,1465,3,-1,5,1
93eac3ef-16eb-40aa-88c4-7ede3a75037e,8,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036203063,rock,scissors,2285,2547,win,loss,1982,1676,3,-1,8,0
93eac3ef-16eb-40aa-88c4-7ede3a75037e,9,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036207603,rock,scissors,1315,2327,win,loss,1046,1605,3,-1,11,-1
93eac3ef-16eb-40aa-88c4-7ede3a75037e,10,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036211544,rock,paper,2764,1937,loss,win,8499,1407,-1,3,14,-2
93eac3ef-16eb-40aa-88c4-7ede3a75037e,11,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036222819,scissors,rock,2697,807,loss,win,2420,1959,-1,3,13,1
93eac3ef-16eb-40aa-88c4-7ede3a75037e,12,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036227949,paper,rock,4887,1037,win,loss,2605,1161,3,-1,12,4
93eac3ef-16eb-40aa-88c4-7ede3a75037e,13,4d05bc8c-5e5a-4724-894b-4172376e470d,9a98678a-2e81-4263-b8c9-0cb969c7a446,1579036235452,scissors,paper,2490,662,win,loss,3322,1416,3,-1,15,3
