game_id,version,round_index,player1_id,player2_id,round_begin_ts,player1_move,player2_move,player1_rt,player2_rt,player1_outcome,player2_outcome,player1_outcome_viewtime,player2_outcome_viewtime,player1_points,player2_points,player1_total,player2_total
1553360d-2c1c-4ead-a996-352782668666,2,1,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681105977,paper,scissors,3641,0,loss,win,2595,0,-1,3,0,0
1553360d-2c1c-4ead-a996-352782668666,2,2,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681112343,scissors,scissors,688,0,tie,tie,1522,0,0,0,-1,3
1553360d-2c1c-4ead-a996-352782668666,2,3,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681114670,rock,rock,736,0,tie,tie,1182,0,0,0,-1,3
1553360d-2c1c-4ead-a996-352782668666,2,4,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681116708,rock,paper,784,0,loss,win,1417,0,-1,3,-1,3
1553360d-2c1c-4ead-a996-352782668666,2,5,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681119031,scissors,paper,599,0,win,loss,789,0,3,-1,-2,6
1553360d-2c1c-4ead-a996-352782668666,2,6,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681120539,paper,rock,619,0,win,loss,634,0,3,-1,1,5
1553360d-2c1c-4ead-a996-352782668666,2,7,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681121914,scissors,scissors,586,0,tie,tie,1051,0,0,0,4,4
1553360d-2c1c-4ead-a996-352782668666,2,8,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681123674,rock,rock,464,0,tie,tie,580,0,0,0,4,4
1553360d-2c1c-4ead-a996-352782668666,2,9,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681124844,paper,paper,573,0,tie,tie,1006,0,0,0,4,4
1553360d-2c1c-4ead-a996-352782668666,2,10,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681126550,rock,scissors,751,0,win,loss,1167,0,3,-1,4,4
1553360d-2c1c-4ead-a996-352782668666,2,11,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681128592,scissors,paper,638,0,win,loss,1135,0,3,-1,7,3
1553360d-2c1c-4ead-a996-352782668666,2,12,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681130483,paper,scissors,530,0,loss,win,1532,0,-1,3,10,2
1553360d-2c1c-4ead-a996-352782668666,2,13,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681132683,rock,rock,819,0,tie,tie,841,0,0,0,9,5
1553360d-2c1c-4ead-a996-352782668666,2,14,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681134454,rock,paper,738,0,loss,win,1071,0,-1,3,9,5
1553360d-2c1c-4ead-a996-352782668666,2,15,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681136375,rock,paper,789,0,loss,win,1051,0,-1,3,8,8
1553360d-2c1c-4ead-a996-352782668666,2,16,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681138336,rock,paper,575,0,loss,win,822,0,-1,3,7,11
1553360d-2c1c-4ead-a996-352782668666,2,17,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681139846,rock,paper,682,0,loss,win,858,0,-1,3,6,14
1553360d-2c1c-4ead-a996-352782668666,2,18,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681141513,scissors,scissors,622,0,tie,tie,746,0,0,0,5,17
1553360d-2c1c-4ead-a996-352782668666,2,19,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681143006,rock,rock,573,0,tie,tie,869,0,0,0,5,17
1553360d-2c1c-4ead-a996-352782668666,2,20,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681144576,paper,paper,588,0,tie,tie,1117,0,0,0,5,17
1553360d-2c1c-4ead-a996-352782668666,2,21,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681146419,rock,scissors,534,0,win,loss,2817,0,3,-1,5,17
1553360d-2c1c-4ead-a996-352782668666,2,22,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681149891,scissors,paper,873,0,win,loss,912,0,3,-1,8,16
1553360d-2c1c-4ead-a996-352782668666,2,23,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681151812,paper,rock,705,0,win,loss,887,0,3,-1,11,15
1553360d-2c1c-4ead-a996-352782668666,2,24,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681153666,paper,scissors,788,0,loss,win,1165,0,-1,3,14,14
1553360d-2c1c-4ead-a996-352782668666,2,25,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681155833,scissors,scissors,503,0,tie,tie,949,0,0,0,13,17
1553360d-2c1c-4ead-a996-352782668666,2,26,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681157402,rock,rock,588,0,tie,tie,873,0,0,0,13,17
1553360d-2c1c-4ead-a996-352782668666,2,27,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681158979,scissors,paper,587,0,win,loss,1573,0,3,-1,13,17
1553360d-2c1c-4ead-a996-352782668666,2,28,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681161254,scissors,rock,619,0,loss,win,930,0,-1,3,16,16
1553360d-2c1c-4ead-a996-352782668666,2,29,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681162926,paper,rock,606,0,win,loss,604,0,3,-1,15,19
1553360d-2c1c-4ead-a996-352782668666,2,30,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681164254,rock,scissors,707,0,win,loss,832,0,3,-1,18,18
1553360d-2c1c-4ead-a996-352782668666,2,31,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681165918,paper,paper,574,0,tie,tie,872,0,0,0,21,17
1553360d-2c1c-4ead-a996-352782668666,2,32,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681167494,scissors,scissors,424,0,tie,tie,692,0,0,0,21,17
1553360d-2c1c-4ead-a996-352782668666,2,33,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681168735,rock,rock,527,0,tie,tie,759,0,0,0,21,17
1553360d-2c1c-4ead-a996-352782668666,2,34,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681170142,paper,scissors,548,0,loss,win,927,0,-1,3,21,17
1553360d-2c1c-4ead-a996-352782668666,2,35,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681171730,rock,scissors,479,0,win,loss,799,0,3,-1,20,20
1553360d-2c1c-4ead-a996-352782668666,2,36,9274287c-1aff-4163-8e42-2a968d49fc10,bot,1582681173130,scissors,paper,486,0,win,loss,610,0,3,-1,23,19
