game_id,version,round_index,player1_id,player2_id,round_begin_ts,player1_move,player2_move,player1_rt,player2_rt,player1_outcome,player2_outcome,player1_outcome_viewtime,player2_outcome_viewtime,player1_points,player2_points,player1_total,player2_total
4ff7be22-a7b5-41ab-b663-e2115026cdba,2,1,5b256c41-3e3a-44ff-aa98-1e5aae5b756f,bot,1582597698242,scissors,rock,4278,0,loss,win,3446,0,-1,3,0,0
4ff7be22-a7b5-41ab-b663-e2115026cdba,2,2,5b256c41-3e3a-44ff-aa98-1e5aae5b756f,bot,1582597706142,scissors,scissors,1173,0,tie,tie,2729,0,0,0,-1,3
4ff7be22-a7b5-41ab-b663-e2115026cdba,2,3,5b256c41-3e3a-44ff-aa98-1e5aae5b756f,bot,1582597710142,paper,rock,3432,0,win,loss,2107,0,3,-1,-1,3
4ff7be22-a7b5-41ab-b663-e2115026cdba,2,4,5b256c41-3e3a-44ff-aa98-1e5aae5b756f,bot,1582597715785,rock,scissors,4652,0,win,loss,3074,0,3,-1,2,2
4ff7be22-a7b5-41ab-b663-e2115026cdba,2,5,5b256c41-3e3a-44ff-aa98-1e5aae5b756f,bot,1582597723865,scissors,rock,2098,0,loss,win,2156,0,-1,3,5,1
4ff7be22-a7b5-41ab-b663-e2115026cdba,2,6,5b256c41-3e3a-44ff-aa98-1e5aae5b756f,bot,1582597728215,rock,scissors,1609,0,win,loss,2269,0,3,-1,4,4
4ff7be22-a7b5-41ab-b663-e2115026cdba,2,7,5b256c41-3e3a-44ff-aa98-1e5aae5b756f,bot,1582597732205,paper,rock,2009,0,win,loss,2334,0,3,-1,7,3
4ff7be22-a7b5-41ab-b663-e2115026cdba,2,8,5b256c41-3e3a-44ff-aa98-1e5aae5b756f,bot,1582597736642,scissors,paper,1458,0,win,loss,2040,0,3,-1,10,2
4ff7be22-a7b5-41ab-b663-e2115026cdba,2,9,5b256c41-3e3a-44ff-aa98-1e5aae5b756f,bot,1582597740211,rock,scissors,1189,0,win,loss,2829,0,3,-1,13,1
4ff7be22-a7b5-41ab-b663-e2115026cdba,2,10,5b256c41-3e3a-44ff-aa98-1e5aae5b756f,bot,1582597744339,paper,rock,1459,0,win,loss,2710,0,3,-1,16,0
